rt	stimulus	response	trial_type	trial_index	time_elapsed	internal_node_id	slider_start	task	correct	accuracy	participant_id	ctime
6302	<h3>Instructions</h3><p style='text-align:left'>In this experiment, you will read what different people say and rate how natural that sounds. Here's an example from Leah:<br><br><b>Leah:</b> <i>""I have no idea if Mitchell got a poodle. Did Frank suggest that Mitchell wanted to get a poodle?""</i><br> <br> Leah first made a statement and then asked a question. We ask you to rate how natural the question sounds in the context of the statement. You will give your answer on a sliding scale from ""totally unnatural"" to ""totally natural"".<br><br> We start off with four practice examples. Then you will rate 30 examples.<br><br><b> Payment:</b> You will be paid $1.35 to participate in this experiment, which will take about 5 minutes to complete.<br> <p style='text-align:left' font size=""1""> <b> Consent:</b> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at judith.tonhauser@ling.uni-stuttgart.de.</p>	0	html-button-response	0	6310	0.0-0.0	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6307	<b>First practice example</b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i>	92	html-slider-response	1	12637	0.0-1.0-0.0	50	practice	TRUE	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6170	<p style='text-align:left'><b> Good response! </b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i> <br><br> Katia's question sounds very natural in this context because it is natural for Katia to ask whether Natalie is from the USA if Katia doesn't know where Natalie is from.</p>	0	html-button-response	2	18814	0.0-1.0-2.0-0.0	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
8368	<p style='text-align:left'><b>Here's the second practice example.</b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i></p>	0	html-slider-response	3	27186	0.0-2.0-0.0	50	practice	TRUE	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
3783	<p style='text-align:left'><b> Good response! </b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i> <br><br> Xenia's question does not sound very natural in this context. Her question implies that she has a sister, but she stated that she doesn't have any sisters.</p>	0	html-button-response	4	30972	0.0-2.0-2.0-0.0	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6628	<p style='text-align:left'><b>Here's the third practice example.</b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i></p>	71	html-slider-response	5	37606	0.0-3.0-0.0	50	practice	TRUE	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
2257	<p style='text-align:left'><b> Good response! </b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i> <br><br> Kerstin's question sounds very natural in this context.</p>	0	html-button-response	6	39870	0.0-3.0-2.0-0.0	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
12480	<p style='text-align:left'><b> Here's the last practice example.</b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i></p>	76	html-slider-response	7	52358	0.0-4.0-0.0	50	practice	FALSE	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
11815	<p style='text-align:left'><b> Incorrect response </b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i> <br><br> Mirko's question does not sound very natural in this context. Mirko's question implies that Anna has dogs, but he stated that he doesn't know whether Anna has any dogs. Please repeat the fourth practice example.</p>	0	html-button-response	8	64178	0.0-4.0-1.0-0.0	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
4447	<p style='text-align:left'><b> Here's the last practice example.</b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i></p>	7	html-slider-response	9	68642	0.0-4.1-0.1	50	practice	TRUE	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
3960	<p style='text-align:left'><b> Good response! </b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i> <br><br> Mirko's question does not sound very natural in this context. Mirko's question implies that he thinks that Anna has dogs, but he stated that he doesn't know whether Anna has any dogs.</p>	0	html-button-response	10	72606	0.0-4.1-2.1-0.1	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
4561	<p style='text-align:left'><b>Great, you're ready to go!</b><br>To make sure you are paying attention, we have included some examples for which we know the right answer. If you read the examples carefully, you will definitely get those right.<br></p>	0	html-button-response	11	77172	0.0-5.0	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6020	<b>Ashley:</b><em> ""Emma is in law school. Did Justin confirm that Emma studied on Saturday morning?""</em>	84	html-slider-response	12	83197	0.0-6.0-0.0	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
11222	<b>Leia:</b><em> ""I don't know if Ann plays any instrument. Does Ann play the flute, too?""</em>	9	html-slider-response	13	94429	0.0-6.0-0.1	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
17843	<b>Scott:</b><em> ""I don't know if Mary is pregnant. Did Patrick say that Mary is pregnant?""</em>	90	html-slider-response	14	112282	0.0-6.0-0.2	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
